signum,revisionID,translitterering,normalisering,translation,Latitude,Longitude,Stil,Inscriber,Material,Period_begin,Period_end,edition
Upplands runinskrifter 463,54630464,× ueþralti × auk uiki × litu × raisa × stain × aftiʀ × hulmstin × faþur sin × auk hulmfriþ × at bonta sin,"Veðraldi ok Vigi letu ræisa stæin æftiʀ Holmstæin, faður sinn, ok Holmfriðr at bonda sinn.","Vädralde och Vige lät resa stenen efter Holmsten, sin fader, och Holmfrid efter sin man.",0.0,0.0,,"Fot,Fot",,1000,1099,0
Upplands runinskrifter 464,54421764,[tora · lit · raisa · sti]n [· þina · i]ftiʀ · rolif · sun · sin · kuþ · hialbi · ant [· hans fotr · risti ·],"Tora let ræisa stæin þenna æftiʀ ʀolæif, sun sinn. Guð hialpi and hans. Fotr risti.","Tora lät resa denna sten efter Rolev, sin son. Gud hjälpe hans ande. Fot ristade.",59.71949,17.68487,,"Fot,Fot 2",,793,1066,0
Upplands runinskrifter 465,54421772,[þora · lit · raisa · stin · aftʀ · kuna · bunta · sin · kuþ · hialbi · ant · hans ·],"Þora let ræisa stæin æftiʀ Gunna, bonda sinn. Guð hialpi and hans.","Tora lät resa stenen efter Gunne, sin man. Gud hjälpe hans ande.",59.68876,17.70683,,,,793,1066,0
Upplands runinskrifter 466,54504839,+ tsfirnstblk hniastbmlʀ a : rihaʀ : --- : riha--- : --(k)itiht · in(ʀ)slbmui :+ ¶ ui(s)tʀi : -isit--ti +,... '''''hniastbmlʀ''''' ... ... ... ... ... ... ... ...,,59.69139,17.76196,,"Antagligen samma som gjort Upplands runinskrifter 468,U 468. Enligt Erik Brate Visäte .",,793,1066,0
Upplands runinskrifter 467,54504847,× tafeist- ... ...-sa stei(n) · þen... ...in...a : kuþ : hi--bi : at : --(n)s : þurbiurn : risti,Tafæist[r] ... [ræi]sa stæin þenn[a] ... Guð hi[al]pi and [ha]ns. Þorbiorn risti.,Tavest ... resa denna sten ... Gud hjälpe hans ande. Torbjörn ristade.,59.68936,17.75748,,"Torbjörn,Torbjörn",,793,1066,0
Upplands runinskrifter 468,54285501,+ t-ua · ----- : (r)-... ...uis-titi · ilʀu : nuihli : ti-ʀ,... ... ... ... ... ... ...,,59.68761,17.75128,,"Antagligen samma som gjort Upplands runinskrifter 466,U 466.",,793,1066,0
Upplands runinskrifter 469,54504841,[...tfa-...],...,,59.68761,17.75128,,,,793,1066,0
Upplands runinskrifter 470,54285432,...ar : sa... þ---a : iftir : uibiurn : f... ... out hans,"... ... þ[enns]a æftiʀ Vibiorn, f[aður] ... and hans.","... denna [sten] efter Yibjörn, [sin] fader. [Gud hjälpe] hans ande.",59.0,42.0,,,,1000,1099,0
Upplands runinskrifter 471,54424818,× fulyki × auk × ulfr × auk × akiʀ × litu × raisa × stain × eftiʀ × anut × faþur × sin × kuþ × hialbi × ant × hans ×,"Fullugi ok Ulfʀ ok Agæiʀʀ() letu ræisa stæin æftiʀ Anund, faður sinn. Guð hialpi and hans.","Fulluge och Ulv och Åger lät resa stenen efter Anund, sin fader. Gud hjälpe hans ande.",59.72527,17.79326,pr3,"Fot_runristare,Fot 2",runsten,793,1066,0
Upplands runinskrifter 472,54264912,× kilauk × aiki×nefs × totiʀ × lit × raisa × stin × iftiʀ × trakmal × muþur×faþur × sin ×,"Gillaug, Æikinefs dottiʀ, let ræisa stæin æftiʀ Dragmal, moðurfaður sinn.","Gillög, Ekenävs dotter, lät resa stenen efter Dragmal (), sin morfader.",59.69366,17.77288,,"Fot,Fot ",,793,1066,0
Upplands runinskrifter 473,50582648,faylkbiurn × lit × risa × stin × ift[ʀ × nif × bruþur × sin] × (þ)[et ×] iʀu × sunʀ × oskis ×,"Folkbiorn let ræisa stæin æftiʀ Nef, broður sinn. Þet eʀu syniʀ Asgæiʀs.","Folkbjörn lät resa stenen efter Näv, sin broder. Det är Åsgers söner.",59.69438,17.77674,,,,793,1066,0
Upplands runinskrifter 475,55268679,finuiþr · lit · gera · stenmerki · ok · buro · eftiʀ · faslaugu muþur sena,"Finnviðr let gæra stæinmærki ok bro æftiʀ Fastlaugu, moður sina.","Finnvid lät göra stenmärket och bron efter Fastlög, sin moder.",59.70912,17.7572,,"Möjligen ,Önjut",,793,1066,0
Upplands runinskrifter 476,54276482,[× sulfa × auk × bui × karþu bru × þisa × eftiʀ × askair × uaʀ sun a... × -(þ)(u)(a)-],"Sylfa/Solfa ok Boi gærðu bro þessa æftiʀ Asgæiʀ, vaʀ sunn ... ...","Solva och Boe gjorde denna bro efter Asger, (som) var son ...",59.70838,17.75787,,,,793,1066,0
Upplands runinskrifter 477,54492380,[... ...ftiʀ × ikialt × sun × sin × h... ...],"... [æ]ftiʀ Ingiald, sun sinn. H[ann] ...","... efter Ingjald, sin son. Han ...",59.69596,17.76674,,,,793,1066,0
Upplands runinskrifter 479,45226553,× ousmuntʀ : auk : e-(i)ʀ : suniʀ : kuriþaʀ : situ : stin : iftʀ : sikulf : f-þu sin : suta : buruþur : ulfkil : iuk : ru lufa : -iþi,"Asmundr ok '''''e-iʀ''''', syniʀ Gyriðaʀ, sættu stæin æftiʀ Sigulf, f[a]ður sinn, Sota broður. Ulfkell hiogg runaʀ, Lofa [l]iði.","Åsmund och  '''''e-iʀ''''', Gyrids söner, satte stenen efter Sigulv, sin fader, Sotes broder. Ulvkell högg runorna, Loves följeslagare.",0.0,0.0,,"Ulfkell, Lowe omnämnd",,1000,1099,0
Upplands runinskrifter 480,50237251,× hulmaiʀ × auk × kuni × litu × raisa × stain ×× þina × eftiʀ × sota × faþur × sin ×,"Holmgæiʀʀ ok Gunni letu ræisa stæin þenna æftiʀ Sota, faður sinn.","Holger och Gunne lät resa stenen efter Sote, sin fader.",0.0,0.0,,"Fot,Fot",,1000,1099,0
Upplands runinskrifter 481,55968832,× þorkis[l] -uk × þorstin auk × uibiarn × auk × olifr × --tu × raisa × stin × eftiʀ × þorbiarn × faþur × sin,"Þorgisl ok Þorstæinn ok Vibiorn ok Olæifʀ [le]tu ræisa stæin æftiʀ Þorbiorn, faður sinn.",Torgisl och Torsten och Vibjörn och Olev läto resa stenen efter Torbjörn sin fader.,59.0,47.0,,,,1000,1099,0
Upplands runinskrifter 484,55779749,× yrinkr × lit × raisa × stain [× at ×] uifara × faþur sin ×,"Øringʀ let ræisa stæin at Viðfara, faður sinn.","Öring lät resa stenen efter Vidfare, sin fader.",59.0,48.0,,"troligen Fot,Fot",,1000,1099,0
Upplands runinskrifter 486,52290286,...[ast] faþur × sin × auk ... sin ×,... faður sinn ok ... sinn,...sin fader och ...sin...,59.79774,17.78079,,,,0,1500,0
Upplands runinskrifter 487,52290320,[iþþiþiinstimli...ili · ininistitkm],... ...,... ...,59.79808,17.78253,,,,793,1066,0
Upplands runinskrifter 488,54335188,...ra : kuþ hial... ...,... Guð hial[pi] ...,... Gud hjälpe ...,59.7987,17.77895,,,,793,1066,0
Upplands runinskrifter 489,50761608,khulu ' lit ' kira ' bro fr ant ' kilaua ' totur ' sin ' uk sum ' ati ' ulfr ' ybiʀ risti,"Gullaug() let gæra bro fyr and Gillaugaʀ, dottur sinnaʀ ok sum atti Ulfʀ. Øpiʀ risti.","Gullög lät göra bron för sin dotter Gillögs själ, som Ulv hade till hustru. Öpir ristade.",59.85767,17.63144,,Öpir,,1000,1099,0
Upplands runinskrifter 490,48727542,kiʀbiarn × uk × ihfurbiarn × uk × uifastr × þiʀ × ristu stin × þina × iftiʀ × kiʀbiarn × bruþur sin × kuþ ialbi ans ot uk salu,"Gæiʀbiorn ok Iofurbiorn ok Vifastr þæiʀ ræistu stæin þenna æftiʀ Gæiʀbiorn, broður sinn. Guð hialpi hans and ok salu.","Gerbjörn och Jovurbjörn och Vifast de reste denna sten efter Gerbjörn sin broder, Gud hjälpe hans ande och själ.",59.77521,17.84807,RAK,"Gunnar,Gunnar",,793,1066,0
Upplands runinskrifter 491,54361551,...n · auk × kulauh × au... ... + þan + a-...,... ok Gullaug o[k] ... þann ...,... och Gullög och ...,59.78601,17.86085,,,,793,1066,0
Upplands runinskrifter 492,54364087,× asbion + auk + kisl + aurir + auk + auþbiorn + litu rita + stin aftʀ + biorn + foþur sin +,"Asbiorn ok Gisl, '''''aurir''''' ok Auðbiorn letu retta stæin æftiʀ Biorn, faður sinn.","Åsbjörn och Gisl, '''aurir''' och Ödbjörn läto uppresa stenen efter Björn, sin fader.",59.79048,17.84028,pr4,,,793,1066,0
Upplands runinskrifter 493,54504920,[× ktl + srua-telsa : ritae...anisibuþin],... ... ...,,59.74383,17.82241,,,,793,1066,0
Upplands runinskrifter 494,54540189,brunkil ' li[t] ' [r]ita ' stain ' þina ' i[ftiʀ uiki(n)(m)(r) ...þu]ʀ ' [sin · h]rfa ...[star],"Brunkell let retta stæin þenna æftiʀ ʀæginmund(), [fa]ður() sinn, arfa ...","Brunkel lät uppresa denna sten efter Rägnmund(), sin fader(), arvinge till ...",59.75071,18.01781,,Ristningen liknar Åsmund Kåressons ristningar.,,793,1066,0
Upplands runinskrifter 495,54424806,...-iʀ × auk × inki[f](a)(s)(t)(r) [× auk] × [inki]muntr × þaiʀ × uaʀu × (b)(r)[uþr ×] suniʀ × s-... ×,"... ok Ingifastr ok Ingimundr, þæiʀ vaʀu brøðr, syniʀ ...","... och Ingefast och Ingemund, de voro bröder, söner...",0.0,0.0,,,,1000,1099,0
Upplands runinskrifter 496,55268704,[ranfastr ' lit ' kera '] merki · þ[i]sun · fir sia[l ikifatar ·] auk · kulifs,Ragnfastr let gærva mærki þessun fyr sial Ingifastaʀ ok Gullæifs.,Ragnfast lät göra dessa märken för Ingefasts själ och Gullevs.,0.0,0.0,,"Önjut, samme ristare som gjort Upplands runinskrifter 497,U&nbsp,497",,1000,1099,0
Upplands runinskrifter 497,54517202,ranfast[r] · lit · agua · eli · auk · kera · bru · eftiʀ inkifast · faþur · sin × auk ik[i]friþi · muþur sina,"ʀagnfastr let haggva hælli ok gærva bro æftiʀ Ingifast, faður sinn, ok Ingifriði, moður sina.","Ragnfast lät hugga hällen och göra bron efter Ingefast, sin fader, och Ingefrid, sin moder.",59.74289,18.0378,,"Samme ristare som gjort Upplands runinskrifter 496,U 496, Önjut",,793,1066,0
Upplands runinskrifter 498,54502400,[uikikr ... auk anuntr ' ikifriþ-- suni ' rai... iftiʀ iarlʀ uk · ifteʀ · kal · faþur sin],"Vikingʀ ... ok Anundr, Ingifrið[aʀ] syniʀ, ræi[stu] æftiʀ '''''iarlʀ''''' ok æftiʀ Kal, faður sinn.","Viking ... och Anund, Ingefrids söner, reste efter ... och efter Kal, sin fader.",59.75305,18.06904,,,,793,1066,0
Upplands runinskrifter 500,54307974,þ-...s...-...r · -uk · (a)iþ--...-- ...-(t)u · kiara · merki · eftiʀ kelau (f)aþu... s-- sirk,"... [o]k ... [le]tu gærva mærki æftiʀ Kætillaug(), faðu[r] s[inn] '''''sirk'''''.","... läto göra märket efter Kättillög, sin fader ...",59.72755,18.21094,,,,793,1066,0
Upplands runinskrifter 501,54309282,sbialbuþi ' auk ' hulfr ' auk ' hulmfastr auk ' keir-.../keir- ... ...þur sin auk sun biarn,"Spiallbuði ok Ulfʀ ok Holmfastr ok Gæiʀ.../Gæiʀ[i] ... [fa]ður()/[bro]ður() sinn, ok sun Biarnaʀ.","Spjallbude och Ulv och Holmfast och Ger - ... sin fader(), och son Björn.",59.69338,18.15159,,Öpir 1,,793,1066,0
Upplands runinskrifter 502,54416207,ulfʀ × iu... (f)aþ(u)r sin × uk × bruþ-... ...- satu ...,Ulfʀ ... faður sinn ok broð[ur] ... sattu ...,Ulfr ... hans fader and broder ... satte …,59.69312,18.19088,,"Gunnar,Gunnar",,793,1066,0
Upplands runinskrifter 505,49803724,alrikr ' lit ' rita ' stai(n) ' -k ' bro ' kiara ' iftiʀ ' hilha ' sun sin ' hultrikr ' auk ' auþin iftiʀ broþur sin suain risti,"Alrikʀ let retta stæin [o]k bro gæra æftiʀ Hælga, sun sinn, Hultrikʀ ok Auðin æftiʀ broður sinn. Svæinn risti.","Alrik lät resa stenen och göra bron till minne av Helge, sin son, Hultrik och Odin till minne av sin broder. Sven ristade.",59.65259,18.24083,,"Sven,Sven 3, Sten",,793,1066,0
Upplands runinskrifter 506,54640328,[anuntr uk × tusti × þaiʀ × riti · -tain × iftiʀ × ala × faþur × sin × uk × kunar × bru... ...],"Anundr ok Tosti þæiʀ rettu [s]tæin æftiʀ Ala/Alla, faður sinn, ok Gunnar, bro[ður sinn].","Anund och Toste de reste stenen till minne av Ale (Alle), sin fader, och Gunnar, sin broder.",59.64443,18.24265,,,,793,1066,0
Upplands runinskrifter 507,54634265,...ia-t-mlʀ,'''''[hn]ia[s]t[b]mlʀ''''',,59.64711,18.24373,,,,793,1066,0
Upplands runinskrifter 508,54507887,ikiluk × uk × afriþ × þaʀ × litu × risa × stin × þina + iftiʀ × -a--bi-rn faþur × sin × kuþan × uk × ragni × þu × biku × i × l----,"Ingilaug ok Afriðr þaʀ letu ræisa stæin þenna æftiʀ ...bi[o]rn, faður sinn goðan, ok ʀagni. Þau byggu i ...","Ingelög och Åfrid de läto resa denna sten till minne av ... -björn, sin gode fader, och Ragne. De bodde i ...",59.6673,18.24221,,"Gunnar,Gunnar",,793,1066,0
Upplands runinskrifter 509,54371819,alkautr × lit stain ' hakua iftiʀ þurk(a)rʀ faþurʀ sin × auk&#124; &#124;kitil × bruþurʀ sin,"Algautr let stæin haggva æftiʀ Þorgæiʀ, faður sinn, ok Kætil, broður sinn.","Algöt lät hugga stenen efter Torger, sin fader, och Kättil, sin broder.",59.65839,18.34553,,"Samma som gjort Upplands runinskrifter 190,U 190 och eventuellt Upplands runinskrifter 130,U 130. Torsten,Torsten  [Källström 2007a:269]",,793,1066,0
Upplands runinskrifter 510,54507926,× frystin × þorbiurn × fasti × uiniutr × ulfr × kuntiarfr × þaiʀ × bruþr × raistu × stin : at · þorstin : faþur × sin ·,"Frøystæinn, Þorbiorn, Fasti, Viniutr, Ulfʀ, Gunndiarfʀ, þæiʀ brøðr ræistu stæin at Þorstæin, faður sinn.","Frösten, Torbjörn, Faste, Vinjut, Ulv, Gunndjärv, de bröderna reste stenen till minne av Torsten, sin fader.",59.63787,18.23126,,"Fot,Fot 2, Ärnfast",,793,1066,0
Upplands runinskrifter 511,54508043,+ uitiarf + uk + tan ' uk · fastar · uk · halftan + lata + reisa ÷ stein ÷ aftʀ + faþur sn ' fasta ·,Vidiarfʀ ok Dan ok Fastarr ok Halfdan lata ræisa stæin æftiʀ faður sinn Fasta.,Vidjärv och Dan och Fastar och Halvdan låta resa stenen efter sin fader Faste.,59.64031,18.22878,,Visäte,,793,1066,0
Upplands runinskrifter 515,51600583,kuni lit + stain + rita + eftiʀ × alfkiʀ faþur + sen + kuþ hialbi ant hans,"Gunni let stæin retta æftiʀ Alfgæiʀ, faður sinn. Guð hialpi and hans.","Gunne lät resa sten efter Alvger, sin fader. Gud hjälpe hans ande.",0.0,0.0,,"Torsten,Torsten",,1000,1099,0
Upplands runinskrifter 516,54512364,[kauti auk s...],Gauti ok ...,Göte och ...,59.75083,18.39771,,,,793,1066,0
Upplands runinskrifter 517,55124394,+ a-... ... ...- + ra---u + stain + eftir haruk + bruþur + sin + in + rakn-... ... ...anta + sin + auk + at suni + ... ... ... ...ar þisi,"... ... ... ræ[ist]u stæin æftiʀ Haruk, broður sinn, en ʀagn[hildr]() ... [bo]anda sinn ok at syni ... ... ... [run]aʀ þessi.","... reste stenen till minne av Hårok, sin broder, och Ragn-... dessa runor.",59.73307,18.50183,,"Torbjörn,Torbjörn skald  [Källström 1999:58ff]",,793,1066,0
Upplands runinskrifter 518,45242427,þurkir × uk × suin × þu litu × risa × stin × þina × iftiR × urmiR × uk × urmulf × uk × frikiR × on × etaþis × i silu × nur × ian þiR antriR × ut i × krikum × kuþ ihlbi --R(a) ot × uk salu,Þorgærðr ok Svæinn þau letu ræisa stæin þenna æftiR OrmæiR ok Ormulf ok FrøygæiR. Hann ændaðis i Silu nor en þæiR andriR ut i Grikkium. Guð hialpi [þæi]Ra and ok salu.,Torgärd och Sven de lät resa denna sten efter Ormer och Ormulv och Fröger. Han slutade sitt liv norrut i silu och de andra ute i Grekland. Gud hjälpe deras ande och själ.,59.69577,18.47451,,,runsten,0,1500,0
Upplands runinskrifter 520,54507303,[... raistu · stai(n) ...],... ræistu stæin ...,... reste stenen ...,59.73394,18.44393,,,,793,1066,0
Upplands runinskrifter 521,54508064,[... ...uastr × þaiʀ × litu × rausa · stain ... ...rfa],... [Sig]fastr() þæiʀ letu ræisa stæin ... ...,... [Sig]vast de läto resa stenen ...,59.68338,18.60826,,,,793,1066,0
Upplands runinskrifter 525,54408601,... -ftiʀ suin × (f)oþur si(n) ...-----n-usuns × au--(s)--(þ)-- ×,"... [æ]ftiʀ Svæin, faður sinn ... ...","... efter Sven, sin fader ...",59.69075,18.56654,,Torfast,,793,1066,0
Upplands runinskrifter 526,54434689,§A ... ...iba · faþu(r) ... §B ... at · bonta ...,§A ... [S]ibba() faður ... §B ... at bonda ...,"... [efter S]ibbe(), (sin) fader ... efter (sin) make ...",59.74145,18.67502,,,,793,1066,0
Upplands runinskrifter 527,54512861,· ayiti ... [...si] atir : faþu(r) ... ...(k) : sut : (o) : kutloti : hkni : o : syk[um : in : ur : basti] : buti : uhlmstan :,"Øyndr ... [þann]si æftiʀ faður ... [to]k sott a Gutlandi, Hagni()/Agni() a Sikum(). Hann() vaʀ bæzti bondi. Holmstæinn.",Önd [reste] denna [sten] efter [sin] fader ... på Gotland ... Han var den bäste bonde. Holmsten [ristade].,59.74144,18.67529,,"Holmsten , möjligen ,Vidbjörn  osäker bedömning",,793,1066,0
Upplands runinskrifter 528,54602190,[hialb · anutʀ],Hialp. Anundr.,Hjälp. Anund.,59.73984,18.69704,,,,793,1066,0
Upplands runinskrifter 530,54295548,[· urmi × auk × hulmuiþr × auk × hulmfastar × litu : raisa : stain : aftiR × burut : faþur : sin : kuþan ·],"Ormi ok Holmviðr ok Holmfastr letu ræisa stæin æftiR Brodd, faður sinn goðan.","Orme och Holmvid och Holmfast läto resa stenen efter Brodd, sin gode fader.",59.0,45.0,,,,0,1500,0
Upplands runinskrifter 531,54542357,... --- ...tar sun sin uk at kunuat faiur sin,"... ... ..., sun sinn, ok at Gunnhvat, faður sinn.","... efter () ... sin son och åt Gunnvat, sin fader.",59.0,44.0,,,,1100,1125,0
Upplands runinskrifter 534,54385838,...ki · afti · f-...,... æftiʀ ...,... efter ...,59.82961,18.73684,,,,793,1066,0
Upplands runinskrifter 535,54385831,ha... ...,... ...,,59.82961,18.73684,,,,793,1066,0
Upplands runinskrifter 536,54385857,... ...- kun(b)(a)... ...,... ... Gunnbiorn() ...,... Gunnbjörn() ...,59.82961,18.73684,,,,793,1066,0
Upplands runinskrifter 537,54449052,þurfastr · nuk · uʀþbian · a-... ...,Þorfastr ok Viðbiorn o[k] ...,Torfast och Vidbjörn och ...,59.87011,18.78024,,,,793,1066,0
Upplands runinskrifter 538,54370842,... ...(ʀ) ulb[i]ar... ... [suaota],... [æfti]ʀ Holmbior[n] ... '''suaota''',... till minne av Holmbjörn ...,59.85567,18.75717,,,,793,1066,0
Upplands runinskrifter 539,55891773,§A tiarfʀ × uki × urika × uk ' uiki × uk × iukiʀ × uk × kiʀialmʀ × þiʀ bryþr × aliʀ × litu × risa × §B stin þina × iftiʀ × suin × bruþur × sin × saʀ × uarþ × tuþr a × iut(l)ati × on skulti §C fara × til × iklanþs × kuþ × ialbi × (o)ns × at uk salu × uk&#124; × &#124;kus muþiʀ × betr × þan an karþi til,"§A Diarfʀ ok Orøkia ok Vigi ok Iogæiʀʀ ok Gæiʀhialmʀ, þæiʀ brøðr alliʀ letu ræisa §B stæin þenna æftiʀ Svæin, broður sinn. Saʀ varð dauðr a Iutlandi. Hann skuldi §C fara til Ænglands. Guð hialpi hans and ok salu ok Guðs moðiʀ bætr þan hann gærði til.","Djärv och Orökna och Vige och Joger och Gerhjälm, alla dessa bröder lät resa :denna sten efter Sven, sin broder. Han blev död på Jylland. Han skulle :fara till England. Gud och Guds moder hjälpe hans själ bättre än han förtjänade.",0.0,0.0,,,,1000,1099,0
Upplands runinskrifter 540,54068572,airikr ' auk hokun ' auk inkuar aukk rahn[ilt]r ' þou/þouh h--.../--... ... ...-ʀ ' -na hon uarþ [tau]þ(r) [a] kriklati ' kuþ hialbi hons&#124; &#124;salu&#124; &#124;uk&#124; &#124;kuþs muþi(ʀ),Æirikʀ ok Hakon ok Ingvarr ok Ragnhildr þau/þaun ... ... ... ... Hann varð dauðr a Grikklandi. Guð hialpi hans salu ok Guðs moðiʀ.,":Erik och Håkon och Ingvar och Ragnhild, de ... :Han blev död i Grekland. Gud och Guds moder hjälpe hans själ.",0.0,0.0,,möjligtvis Åsmund Kåresson,,1000,1099,0
Upplands runinskrifter 541,49812481,iar likr ' serifr ' broþir ' þ-... ... in ' ybir risti ru-iʀ,"Hiar liggʀ Sigræifʀ/Særæifʀ, broðiʀ ... ... En Øpiʀ risti ru[n]iʀ.","Här ligger Sigrev, broder till ... Och Öpir ristade runorna.",0.0,0.0,,Öpir,,1000,1099,0
Upplands runinskrifter 542,54723464,[...- · at · akun · r...],... at Hakon() ...,... till minne av Hakon() ...,59.74025,18.53014,,,,793,1066,0
Upplands runinskrifter 543,54738275,[...--sin ...ʀ iua sia...],... ... ... ...,,59.74025,18.53014,,,,793,1066,0
Upplands runinskrifter 544,54431237,hultur ' baþ ' ybiʀ rista runa þisa,Holmdorr() bað Øpiʀ rista runaʀ þessaʀ.,Holmdor bad Öpir rista dessa runor.,59.74017,18.53014,,Öpir 1,,793,1066,0
Upplands runinskrifter 545,54395511,· kunilr · lit · rita · staina · ef… …r- buana · s-n · ok · siri(þ) fa-ur · sin,"Gunnhildr let retta stæina æf[tiʀ] … boanda s[i]nn, ok Sigreð, fa[ð]ur sinn. ok Sigriðr [at] fa[ð]ur sinn.","Gunnhild lät resa stenarna efter ... sin man, och Sigred, sin fader.",59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 546,54395782,ahni · ok · au(þ)ulfr · auk · suni · litu · rita · st(a)...(a) · e...-ʀ ...(b)(i)arn · faþur · ...n,"Agni ok Auðulfʀ ok Suni letu retta stæ[in]a æ[fti]ʀ ...biorn, faður [si]nn.","Agne och ödulf och Sune läto resa stenarna efter Björn (), sin fader",59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 547,54648430,· ioan · li(t) ... ...(t) · þeira ·,Ioan let ... [an]d þæiʀa.,Johan lät ... deras ande.,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 549,54703719,...--uita + staina ' i-...,... stæina ...,... stenarna ...,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 550,54704250,... ...ina · e---ʀ · siref · f(a)... ...,"... [þ]enna æ[fti]ʀ Sigræif/Særæif, fa[ður] ...","... denna [sten] efter Sigrev, [sin] fader ...",59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 551,54706601,...r lit · ...,... let ...,... lät ...,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 552,54712832,...snur ' -...,... ...,,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 553,54715302,... · r...,... ...,,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 554,54715970,...(r)þo...,...,,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 555,54716347,...- · mer-... ... (b)ro(þ)-... ...,... mær[ki] ... broð[ur] ...,... landmärke(n) ... broder ...,59.74017,18.53014,,,,793,1066,0
Upplands runinskrifter 556,54718123,... ...(a) ÷ st... ...,... [ræis]a st[æin] ...,... reste stenen ...,59.74025,18.53014,,,,793,1066,0
Upplands runinskrifter 557,54392584,[... ...-tu stin þ... ...],... [ræis]tu stæin þ[enna] ...,... reste denna sten ...,59.74299,18.52827,,,,793,1066,0
Upplands runinskrifter 558,55193516,kuþ + hialbi + auk + mar-a + ant + sib- ... -uk + rakn-...s + auk + haruks + auk + gyriþaʀ,Guð hialpi ok Mar[i]a and Sibb[a]() ... ok ʀagn... ok Haruks ok Gyriðaʀ.,Gud hjälpe och Maria Sibbes() och Ragn ... och Haroks och Gyrids ande.,59.74264,18.52692,,Torbjörn skald  [Källström 1999:61f],,793,1066,0
Upplands runinskrifter 559,54442033,ihar · likr · snaybiarn · s(u)(n) · ansuars ' kuþ hialbi ant,"Hiar liggʀ Snøybiorn, sunn Andsvars. Guð hialpi and.","Här ligger Snöbjörn, Andsvars son. Gud hjälpe anden.",59.77031,18.6401,,"Öpir 1  [tveksam attribuering, Åhlén 1997]",,1100,1125,0
Upplands runinskrifter 560,54448209,hulfr · uk · uþulfr ' li(t)... ...,Ulfʀ ok Auðulfʀ let[u] ...,Ulv och Ödulv läto ...,59.77031,18.6401,,Öpir 1  [för få runor för attribution enligt Åhlén 1997],,793,1066,0
Upplands runinskrifter 561,54448201,...- (r)(u)anm,... runaʀ.,... runorna.,59.77031,18.6401,,Öpir 1  [för få runor för attribution enligt Åhlén 1997],,793,1066,0
Upplands runinskrifter 562,54448212,... ...(r)semni ' fa-... ...,"... Karlsæmni(), fa[ður] ...","... Karlsemni(), fadern ...",59.77031,18.6401,,,,793,1066,0
Upplands runinskrifter 563,54448315,...(r) ' litu ' ...,... letu ...,... läto ...,59.77031,18.6401,,,,793,1066,0
Upplands runinskrifter 565,54394641,[mani auk · afriþ · litu ' fira · bru iftiʀ · olif · sun : sin · in · ioan · at ' broþur ' sin ' ubiʀ ' risti],"Manni/Mani ok Afriðr letu gærva bro æftiʀ Olæif, sun sinn, en Ioan at broður sinn. Øpiʀ risti.","Manne (Måne) och Åfrid läto göra bro efter Olev, sin son, och Johan efter sin broder. Öpir ristade.",59.7924,18.63387,,Öpir 1,,793,1066,0
Upplands runinskrifter 566,54394639,m(a)(n)(i) · lit · kera · merki · at · bryþr · sina · hulta · uk · at · þorkil · uk · at · sialfa · suniʀ · suin(s) in u(b)i · ris(t)(i) runa,"Manni/Mani let gærva mærki at brøðr sina Hulta ok at Þorkel ok at Sialfa, syniʀ Svæins. En Øpiʀ risti runaʀ.","Manne (Måne) lät göra minnesmärket åt sina bröder Hulte och åt Torkel och åt Själve, Svens söner. Och Öpir ristade runorna.",59.78073,18.62454,,Öpir 1,,793,1066,0
Upplands runinskrifter 567,54341100,(a)nutr · au(k) · sai(n) [· auk × irbiarn × a]uk · hahuʀþr,Anundr ok Svæinn()/Sæinn() ok Ærnbiorn ok Hægviðr().,Anund och Sven() och Ambjörn och Hägvid.,59.80707,18.56006,,Östen 2,,793,1066,0
Upplands runinskrifter 568,54581116,... þin... iftiʀ : sikualta : sun (:) ... [aftir bonta sin] ...-iʀ ·,"... þenn[a] æftiʀ Sigvalda, sun ... æftiʀ bonda sinn ...","… denna … efter Sigvalde, [sin] son, … efter sin make …",59.81028,18.55914,,"Vidbjärn,Vidbiorn",,793,1066,0
Upplands runinskrifter 570,54515993,× aki × (a)uk × su[ai]n [× þiʀ × litu raisa × stain × if](t)(i)ʀ (u)(t)rik(a) × (f)[aþu](r) × sin ×,"Aki ok Svæinn þæiʀ letu ræisa stæin æftiʀ Otrygga, faður sinn.","Åke och Sven de läto resa stenen efter Otrygge, sin fader.",59.78686,18.56302,,"Torfast , Åsmund Kåresson,Åsmund",,793,1066,0
Upplands runinskrifter 571,54515995,... faþurʀ si... ...,... faður si[nn] ...,... sin fader ...,59.78685,18.563,,,,793,1066,0
